pid,name,username,num_ctx_switches,memory_info,cpu_percent,memory_percent,nice,create_time,utime,stime,cutime,cstime
399,securityd_service,root,"pctxsw(voluntary=140475495350410, involuntary=0)","pmem(rss=995328, vms=34466525184, pfaults=1578, pageins=4)",0.0,0.011587142944335938,0,1681222256.937999,0.031584732,0.07180592,0.0,0.0
408,cfprefsd,jachian,"pctxsw(voluntary=140475495379215, involuntary=0)","pmem(rss=3371008, vms=34467643392, pfaults=14675, pageins=2)",0.0,0.03924369812011719,0,1681222257.322159,2.352718592,2.056376448,0.0,0.0
409,UserEventAgent,jachian,"pctxsw(voluntary=140475495359865, involuntary=0)","pmem(rss=9596928, vms=34502213632, pfaults=12448, pageins=23)",0.0,0.11172294616699219,0,1681222257.370827,0.765215552,0.491950656,0.0,0.0
410,gamecontrollerd,_gamecontrollerd,"pctxsw(voluntary=140475495354421, involuntary=0)","pmem(rss=4718592, vms=34498191360, pfaults=4253, pageins=95)",0.0,0.054931640625,0,1681222257.377267,0.10295408,0.122845408,0.0,0.0
411,seld,_applepay,"pctxsw(voluntary=140475495350687, involuntary=0)","pmem(rss=3272704, vms=34496733184, pfaults=2265, pageins=12)",0.0,0.03809928894042969,0,1681222257.38787,0.078822448,0.028811894,0.0,0.0
413,universalaccessd,jachian,"pctxsw(voluntary=140475495358291, involuntary=0)","pmem(rss=8265728, vms=35021246464, pfaults=5473, pageins=29)",0.0,0.09622573852539062,0,1681222257.435674,0.126467896,0.1467644,0.0,0.0
415,lsd,jachian,"pctxsw(voluntary=140475495373443, involuntary=0)","pmem(rss=10788864, vms=34508206080, pfaults=79201, pageins=4573)",0.0,0.12559890747070312,0,1681222257.522871,1.147603328,0.752226752,0.0,0.0
416,usernoted,jachian,"pctxsw(voluntary=140475495354243, involuntary=0)","pmem(rss=9609216, vms=34508042240, pfaults=11097, pageins=61)",0.0,0.11186599731445312,0,1681222257.547656,0.679577664,0.270068544,0.0,0.0
417,BackgroundTaskManagementAgent,jachian,"pctxsw(voluntary=140475495351625, involuntary=0)","pmem(rss=8445952, vms=34520027136, pfaults=5628, pageins=14)",0.0,0.09832382202148438,0,1681222257.583335,0.055236164,0.050917464,0.0,0.0
418,accountsd,jachian,"pctxsw(voluntary=140475495380790, involuntary=0)","pmem(rss=44634112, vms=34557480960, pfaults=55426, pageins=1688)",0.0,0.5196094512939453,0,1681222257.639425,4.381609984,1.271186304,0.0,0.0
419,talagent,jachian,"pctxsw(voluntary=140475495352080, involuntary=0)","pmem(rss=8081408, vms=34520780800, pfaults=5255, pageins=12)",0.0,0.09407997131347656,0,1681222257.689163,0.061884856,0.056085472,0.0,0.0
420,WindowManager,jachian,"pctxsw(voluntary=140475495379393, involuntary=0)","pmem(rss=13217792, vms=35029647360, pfaults=11110, pageins=80)",0.0,0.15387535095214844,0,1681222257.690723,2.15775616,0.472107552,0.0,0.0
421,Dock,jachian,"pctxsw(voluntary=140475495427005, involuntary=0)","pmem(rss=21876736, vms=35203436544, pfaults=713238, pageins=10317)",0.0,0.25467872619628906,0,1681222257.70453,11.051641856,3.584383488,0.0,0.0
422,ControlCenter,jachian,"pctxsw(voluntary=140475495389680, involuntary=0)","pmem(rss=36278272, vms=35222298624, pfaults=55319, pageins=771)",0.0,0.4223346710205078,0,1681222257.734538,5.232032768,1.292157568,0.0,0.0
423,tccd,jachian,"pctxsw(voluntary=140475495371723, involuntary=0)","pmem(rss=7225344, vms=34506039296, pfaults=16598, pageins=23)",0.0,0.08411407470703125,0,1681222257.764378,2.002120192,1.369473024,0.0,0.0
424,SystemUIServer,jachian,"pctxsw(voluntary=140475495360391, involuntary=0)","pmem(rss=15196160, vms=35167199232, pfaults=11799, pageins=98)",0.0,0.17690658569335938,0,1681222257.765941,0.493849312,0.363657728,0.0,0.0
425,Finder,jachian,"pctxsw(voluntary=140475495385503, involuntary=0)","pmem(rss=34283520, vms=35264167936, pfaults=77191, pageins=943)",0.0,0.3991127014160156,0,1681222257.780835,3.183801344,1.946639104,0.0,0.0
428,csnameddatad,jachian,"pctxsw(voluntary=140475495350422, involuntary=0)","pmem(rss=1277952, vms=34466439168, pfaults=1163, pageins=2)",0.0,0.0148773193359375,0,1681222257.925837,0.009180016,0.009971812,0.0,0.0
